"","Model","Threshold","Population_below_threshold","Sensitivity.Sensitivity","Specificity.Specificity","PPV.Pos.Pred.Value","NPV.Neg.Pred.Value","Accuracy.Accuracy"
"155","rpart",0.15,0,NA,NA,NA,NA,NA
"156","rpart",0.2,0,NA,NA,NA,NA,NA
"157","rpart",0.25,0,NA,NA,NA,NA,NA
"158","rpart",0.3,0,NA,NA,NA,NA,NA
"159","rpart",0.35,0,NA,NA,NA,NA,NA
"160","rpart",0.4,0,NA,NA,NA,NA,NA
"161","rpart",0.45,0,NA,NA,NA,NA,NA
"162","rpart",0.5,0,NA,NA,NA,NA,NA
"163","rpart",0.55,0,NA,NA,NA,NA,NA
"164","rpart",0.6,0,NA,NA,NA,NA,NA
"165","rpart",0.65,0,NA,NA,NA,NA,NA
"166","rpart",0.7,0,NA,NA,NA,NA,NA
"167","rpart",0.75,0,NA,NA,NA,NA,NA
"168","rpart",0.8,0,NA,NA,NA,NA,NA
"169","rpart",0.85,0,NA,NA,NA,NA,NA
"170","rpart",0.9,0,NA,NA,NA,NA,NA
"171","rpart",0.95,0,NA,NA,NA,NA,NA
"172","rpart",0.05,0,NA,NA,NA,NA,NA
"173","rpart",0.1,0,NA,NA,NA,NA,NA
"174","rpart",0.15,0,NA,NA,NA,NA,NA
"175","rpart",0.2,0,NA,NA,NA,NA,NA
"176","rpart",0.25,0,NA,NA,NA,NA,NA
"177","rpart",0.3,0,NA,NA,NA,NA,NA
"178","rpart",0.35,0,NA,NA,NA,NA,NA
"179","rpart",0.4,0,NA,NA,NA,NA,NA
"180","rpart",0.45,0,NA,NA,NA,NA,NA
"181","rpart",0.5,0,NA,NA,NA,NA,NA
"182","rpart",0.55,0,NA,NA,NA,NA,NA
"183","rpart",0.6,0,NA,NA,NA,NA,NA
"184","rpart",0.65,0,NA,NA,NA,NA,NA
"185","rpart",0.7,0,NA,NA,NA,NA,NA
"186","rpart",0.75,0,NA,NA,NA,NA,NA
"187","rpart",0.8,0,NA,NA,NA,NA,NA
"188","rpart",0.85,0,NA,NA,NA,NA,NA
"189","rpart",0.9,0,NA,NA,NA,NA,NA
"190","rpart",0.95,0,NA,NA,NA,NA,NA
"191","rf",0.05,0,NA,NA,NA,NA,NA
"192","rf",0.1,0,NA,NA,NA,NA,NA
"193","rf",0.15,0,NA,NA,NA,NA,NA
"194","rf",0.2,0,NA,NA,NA,NA,NA
"195","rf",0.25,0,NA,NA,NA,NA,NA
"196","rf",0.3,0,NA,NA,NA,NA,NA
"197","rf",0.35,0,NA,NA,NA,NA,NA
"198","rf",0.4,0,NA,NA,NA,NA,NA
"199","rf",0.45,0,NA,NA,NA,NA,NA
"200","rf",0.5,0.246913580246914,NA,NA,NA,NA,NA
"201","rf",0.55,0.246913580246914,NA,NA,NA,NA,NA
"202","rf",0.6,0.246913580246914,NA,NA,NA,NA,NA
"203","rf",0.65,0.246913580246914,NA,NA,NA,NA,NA
"204","rf",0.7,0.493827160493827,NA,NA,NA,NA,NA
"205","rf",0.75,0.987654320987654,NA,NA,NA,NA,NA
"206","rf",0.8,1.97530864197531,NA,NA,NA,NA,NA
